년월,안철수,오세훈,이낙연,이재명,홍준표,윤석열
2019-09-15,4,3,21,8,4,0
2019-10-15,7,3,22,7,4,0
2019-11-15,6,5,29,6,4,0
2019-12-15,6,4,26,9,4,0
2020-01-15,4,0,24,3,2,1
2020-02-15,3,0,25,3,1,5
2020-03-15,4,0,23,11,2,2
2020-04-15,5,1,26,11,2,1
2020-05-15,3,0,28,11,2,1
2020-06-15,2,1,28,12,2,1
2020-07-15,3,0,24,13,1,7
2020-08-15,3,0,17,19,2,9
2020-09-15,3,0,21,22,3,3
2020-10-15,4,0,17,20,2,3
2020-11-15,3,0,19,19,1,11
2020-12-15,4,0,16,20,1,13
2021-01-15,3,0,10,23,3,13
2021-02-15,5,0,10,27,2,9
2021-03-15,3,0,11,24,2,24
2021-04-15,4,1.5,6,23.5,2,24
2021-05-15,3,1,5,25,2,22
