년월,이낙연,이재명,홍준표,윤석열
2019-08-15,25.1,7.9,5.4,0
2019-09-15,20.2,6,4.5,0
2019-10-15,23.7,6.3,5.3,0
2019-11-15,27.5,8.4,4.7,0
2019-12-15,29.4,8.8,4.6,0
2020-01-15,29.9,5.6,4.4,0
2020-02-15,30.1,13,4.5,0
2020-03-15,29.7,13.6,4.5,0
2020-04-15,40.2,14.4,7.6,0
2020-05-15,34.3,14.2,6.4,0
2020-06-15,30.8,15.6,5.3,10.1
2020-07-15,25.6,19.6,5.8,13.8
2020-08-15,24.6,23.3,5,11.1
2020-09-15,22.5,21.4,7.2,10.5
2020-10-15,21.5,21.5,4.7,17.2
2020-11-15,20.6,19.4,5.1,19.8
2020-12-15,18.2,18.2,6,23.9
2021-01-15,10,23,3,13
2021-02-15,10,27,2,9
2021-03-15,11,24,2,24
2021-04-15,6,23.5,2,24
2021-05-15,5,25,2,22
2021-06-15,5,24,1,21
2021-07-15,6,24,2,25
2021-08-15,11,25,2,19
2021-09-15,8,24,6,19
